Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 209,VERIFICACION DE PRODUCCION DE PRODUCTOS COMPRENDIDOS EN EL PROGRAMA SECTORIAL DE LA INDUSTRIA PETROQUIMICA,17/01/1983,RES209.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES209.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 210,NOTIFICACION DE SUSPENSION DE PRODUCCION DE PRODUCTOS COMPRENDIDOS EN EL PROGRAMA SECTORIAL DE DESARROLLO DE LA INDUSTRIA METALMECANICA,18/01/1983,RES210.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES210.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 177,PRESUPUESTO DE LA JUNTA PARA EL AÑO 1983,28/01/1983,DEC177.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC177.doc,2,Decisiones
DECISIÓN N° 176,CREACIÓN DEL CONSEJO CONSULTIVO LABORAL ANDINO,28/01/1983,DEC176.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC176.doc,1,Decisiones
DECISIÓN N° 175,CREACIÓN DEL CONSEJO CONSULTIVO EMPRESARIAL ANDINO,28/01/1983,DEC175.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC175.doc,1,Decisiones
RESOLUCIÓN N° 211,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA VARIOS PRODUCTOS,1/02/1983,RES211.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES211.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 212,APLICACION DEL ARTICULO 58 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DEL ECUADOR,15/02/1983,RES212.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES212.pdf,4,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 213,NOTIFICACION DE SUSPENSION DE PRODUCCION DE PRODUCTOS COMPRENDIDOS EN EL PROGRAMA SECTORIAL DE DESARROLLO DE LA INDUSTRIA METALMECANICA,18/02/1983,RES213.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES213.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 214,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA VARIOS PRODUCTOS,11/03/1983,RES214.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES214.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 215,SOLICITUD DEL GOBIERNO DE VENEZUELA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA ALGODON,5/04/1983,RES215.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES215.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
