Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
DECISIÓN N° 806,ELECCIÓN DEL SECRETARIO GENERAL DE LA COMUNIDAD ANDINA,11/01/2016,Dec806.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/Dec806.doc,2,Decisiones
RESOLUCIÓN N° 1823,"PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA SEGUNDA QUINCENA DE ENERO DE 2016, CORRESPONDIENTES A LA CIRCULAR N° 500 DEL 11 DE ENERO DE 2016",11/01/2016,RESO 1823.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESO 1823.doc,2,Resoluciones
DICTAMEN N° 001-2016,"POR PRESUNTO INCUMPLIMIENTO DE LAS RESOLUCIONES 1753 Y 1773 DE LA SECRETARÍA GENERAL, LOS ARTÍCULOS 17 Y 21 DE LA DECISIÓN 416; EL ARTÍCULO 41 DE LA DECISIÓN 425; LOS ARTÍCULOS 1, 3 Y 4 DEL TRATADO DE CREACIÓN DEL TRIBUNAL DE JUSTICIA DE LA COMUNIDAD ANDINA, Y LOS ARTÍCULOS 62, 72, 76, 77 Y 103 DEL ACUERDO DE CARTAGENA POR NO HABER LEVANTADO LAS GARANTÍAS QUE AMPARAN LOS CERTIFICADOS DE ORIGEN A LOS QUE HACE REFERENCIA LA RESOLUCIÓN 1753 Y CONTINUAR INICIANDO PROCESOS DE VERIFICACIÓN DE ORIGEN CONTRA LOS MISMOS MODELOS DE COCINA FABRICADOS POR LA EMPRESA ECUATORIANA MABE ECUADOR S.A., CONSTITUYENDO NUEVAS GARANTÍAS A CERTIFICADOS DE ORIGEN REFERIDOS A LOS MODELOS YA ANALIZADOS POR LA SECRETARÍA GENERAL.",22/01/2016,Dictamen 001-2016.doc,https://www.comunidadandina.org/DocOficialesFiles/Dictamenes/Dictamen 001-2016.doc,29,Dictámenes
RESOLUCIÓN N° 1824,"PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA PRIMERA QUINCENA DE FEBRERO DE 2016, CORRESPONDIENTES A LA CIRCULAR N° 501 DEL 20 DE ENERO DE 2016
",22/01/2016,RESO 1824.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESO 1824.doc,2,Resoluciones
RESOLUCIÓN N° 1825,"POR LA CUAL SE INSCRIBE EN EL REGISTRO SUBREGIONAL DE NORMAS SANITARIAS Y FITOSANITARIAS DE LA COMUNIDAD ANDINA, LA RESOLUCIÓN N° 3593 DEL ICA.",5/02/2016,RESO 1825.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESO 1825.doc,11,Resoluciones
RESOLUCIÓN N° 1826,"PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA SEGUNDA QUINCENA DE FEBRERO DE 2016, CORRESPONDIENTES A LA CIRCULAR N° 502 DEL 05 DE FEBRERO DE 2016",8/02/2016,RESO 1826.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESO 1826.doc,2,Resoluciones
RESOLUCIÓN N° 1827,"APERTURA DE INVESTIGACIÓN SOLICITADA POR INTERNEXA S.A. E INTERNEXA PERÚ S.A., POR SUPUESTAS PRÁCTICAS DE ABUSO DE POSICIÓN DE DOMINIO DE CONFORMIDAD CON LO PREVISTO EN LA DECISIÓN 608 DE LA COMISIÓN DE LA COMUNIDAD ANDINA.",10/02/2016,RESO 1827.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESO 1827.doc,18,Resoluciones
RESOLUCIÓN N° 1828,MODIFICACIÓN DEL ANEXO DE LA RESOLUCIÓN 1684 - REGLAMENTO COMUNITARIO DE LA DECISIÓN 571 - VALOR EN ADUANA DE LAS MERCANCÍAS IMPORTADAS,12/02/2016,RESO 1828.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESO 1828.doc,3,Resoluciones
RESOLUCIÓN N° 1831,ENCARGATURA TEMPORAL DE LA SECRETARÍA GENERAL,19/02/2016,RESO 1831.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESO 1831.doc,1,Resoluciones
RESOLUCIÓN N° 1830,"REGISTRO DEL SATÉLITE AG 1 EN LA POSICIÓN ORBITAL 36° OESTE EN LA LISTA ANDINA SATELITAL, PERTENECIENTE A LA EMPRESA HISPASAT S.A. Y SU SUBSIDIARIA HISPAMAR SATÉLITES S.A.",19/02/2016,RESO 1830.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESO 1830.doc,3,Resoluciones
