Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 190,APLICACION DEL ARTICULO 58 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DE BOLIVIA,21/01/1982,RES190.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES190.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 191,SOLICITUD DEL GOBIERNO DEL PERU RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN DE SORBITOL EN POLVO PARA USO INYECTABLE,25/01/1982,RES191.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES191.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 192,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA VARIOS PRODUCTOS,4/03/1982,RES192.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES192.pdf,4,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 170,MODIFICACIÓN DE LA DECISIÓN 91. PROGRAMA SECTORIAL DE DESARROLLO DE LA INDUSTRIA PETROQUÍMICA,18/03/1982,DEC170.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC170.doc,3,Decisiones
DECISIÓN N° 169,EMPRESAS MULTINACIONALES ANDINAS,18/03/1982,DEC169.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC169.doc,7,Decisiones
RESOLUCIÓN N° 193,"SUSPENSION DE LA OBLIGACION DE INCORPORAR MOTOCOMPRESORES HERMETICOS SUBREGIONALES DE 1/16 HP Y 1/20 HP, ASI COMO DE LOS QUE SE MENCIONAN EN LA RESOLUCION 186, EN LA PRODUCCION DE REFRIGERADORES ELECTRICOS DE USO DOMESTICO",29/03/1982,RES193.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES193.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 194,SOLICITUD DEL GOBIERNO DE VENEZUELA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA LA IMPORTACION DE ALGODON DE FIBRA MEDIA,15/04/1982,RES194.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES194.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 173,DESIGNACIÓN DE LOS MIEMBROS DE LA JUNTA DEL ACUERDO DE CARTAGENA,17/04/1982,DEC173.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC173.doc,1,Decisiones
DECISIÓN N° 172,REUNIÓN DE MINISTROS DE TRANSPORTES Y OBRAS PUBLICAS DE LOS PAÍSES MIEMBROS,17/04/1982,DEC172.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC172.doc,3,Decisiones
DECISIÓN N° 171,PROGRAMA ANDINO DE DESARROLLO E INTEGRACIÓN TURÍSTICA,17/04/1982,DEC171.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC171.doc,6,Decisiones
RESOLUCIÓN N° 195,VERIFICACION DE PRODUCCION DE PRODUCTOS COMPRENDIDOS EN EL PROGRAMA SECTORIAL DE DESARROLLO INDUSTRIAL DEL SECTOR METALMECANICO,24/05/1982,RES195.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES195.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 196,SOLICITUD DEL GOBIERNO DEL ECUADOR PARA LA APLICACION DE MEDIDAS DE LA DECISION 45 EN LA IMPORTACION DE SORBITOL PROCEDENTE DE TERCEROS PAISES,2/06/1982,RES196.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES196.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 197,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA DOS PRODUCTOS,7/06/1982,RES197.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES197.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 198,"SUSPENSION DE LA OBLIGACION DE INCORPORAR MOTOCOMPRESORES HERMETICOS PARA TENSION DE 220 VOLTIOS, DE CUALQUIER POTENCIA, EN REFRIGERADORES ELECTRICOS DE USO DOMESTICO",9/06/1982,RES198.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES198.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 199,REQUISITOS ESPECÍFICOS DE ORIGEN PARA ALGUNOS PRODUCTOS DERIVADOS DEL ANHÍDRIDO FTÁLICO,18/06/1982,RES199.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES199.pdf,4,Resoluciones de la Junta del Acuerdo de Cartagena
