Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 2311,PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA SEGUNDA QUINCENA DE ENERO DE 2023,12/01/2023,RESOLUCIONN°2311.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCIONN°2311.docx,2,Resoluciones
RESOLUCIÓN N° 2312,ENCARGATURA TEMPORAL DE LA SECRETARÍA GENERAL,13/01/2023,RESOLUCIONN°2312.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCIONN°2312.docx,1,Resoluciones
DICTAMEN N° 001-2023,"RECLAMO INTERPUESTO POR ZINC INDUSTRIAS NACIONALES S.A. – ZINSA CONTRA LA REPÚBLICA DEL PERÚ: PODER JUDICIAL, VIGÉSIMO JUZGADO ESPECIALIZADO CONTENCIOSO ADMINISTRATIVO DE LIMA SUB-ESPECIALIDAD EN TEMAS TRIBUTARIOS Y ADUANEROS",19/01/2023,DICTAMEN001_2023.docx,https://www.comunidadandina.org/DocOficialesFiles/Dictamenes/DICTAMEN001_2023.docx,36,Dictámenes
RESOLUCIÓN N° 2313,CALENDARIO DE DÍAS HÁBILES DE LA SECRETARÍA GENERAL PARA EL AÑO 2023 Y HORARIO DE ATENCIÓN DE LA MESA DE PARTES Y AL PÚBLICO.,19/01/2023,RESOLUCIONN°2313.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCIONN°2313.docx,3,Resoluciones
RESOLUCIÓN N° 2322,ENCARGO TEMPORAL DE LA SECRETARÍA GENERAL,21/01/2023,RESOLUCIONN°2322.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCIONN°2322.docx,1,Resoluciones
RESOLUCIÓN N° 2314,ENCARGATURA TEMPORAL DE LA SECRETARÍA GENERAL,23/01/2023,RESOLUCIONN°2314.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCIONN°2314.docx,1,Resoluciones
RESOLUCIÓN N° 2315,PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA PRIMERA QUINCENA DE FEBRERO DE 2023,25/01/2023,RESOLUCIONN°2315.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCIONN°2315.docx,2,Resoluciones
DICTAMEN N° 002-2023,"RECLAMO INTERPUESTO POR ZINC INDUSTRIAS NACIONALES S.A. – ZINSA CONTRA LA REPÚBLICA DEL PERÚ: PODER JUDICIAL, SEXTA SALA ESPECIALIZADA EN LO CONTENCIOSO ADMINISTRATIVO SUBESPECIALIDAD EN TEMAS TRIBUTARIOS Y ADUANEROS DE LA CORTE SUPERIOR DE JUSTICIA DE LIMA",30/01/2023,DICTAMEN002_2023.docx,https://www.comunidadandina.org/DocOficialesFiles/Dictamenes/DICTAMEN002_2023.docx,45,Dictámenes
RESOLUCIÓN N° 2316,ENCARGATURA TEMPORAL DE LA SECRETARÍA GENERAL,31/01/2023,RESOLUCIONN°2316.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCIONN°2316.docx,1,Resoluciones
RESOLUCIÓN N° 2317,PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA SEGUNDA QUINCENA DE FEBRERO DE 2023.,9/02/2023,RESOLUCIONN°2317.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCIONN°2317.docx,2,Resoluciones
