Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
DECISIÓN N° 248,DEROGACIÓN DEL ARTÍCULO 2 DE LA DECISIÓN 219 Y MODIFICACIÓN DE LA DECISIÓN 9 SOBRE REGLAMENTO DE LA JUNTA,28/03/1989,DEC248.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC248.doc,1,Decisiones
DECISIÓN N° 247,DESIGNACIÓN DE MIEMBRO DE LA JUNTA,28/03/1989,DEC247.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC247.doc,1,Decisiones
RESOLUCIÓN N° 285,DEROGATORIA DE LA RESOLUCIÓN 253,14/04/1989,RES285.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES285.doc,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 286,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA APLICACIÓN DEL ARTÍCULO 79A DEL ACUERDO DE CARTAGENA,19/05/1989,RES286.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES286.doc,4,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 287,SOLICITUD DE RECONSIDERACIÓN DE LA RESOLUCIÓN 285,15/06/1989,RES287.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES287.doc,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 249,APROBACIÓN DE LA NANDINA,10/08/1989,DEC249.pdf,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC249.pdf,411,Decisiones
RESOLUCIÓN N° 288,VERIFICACIÓN DE PRODUCCIÓN DE PRODUCTOS COMPRENDIDOS EN EL PROGRAMA SECTORIAL DE DESARROLLO DE LA INDUSTRIA METALMECÁNICA,8/09/1989,RES288.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES288.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 256,PROGRAMA ANDINO DE DESARROLLO RURAL,29/09/1989,DEC256.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC256.doc,2,Decisiones
DECISIÓN N° 255,PROGRAMA SUBREGIONAL ANDINO DE ERRADICACIÓN DE LA FIEBRE AFTOSA,29/09/1989,DEC255.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC255.doc,8,Decisiones
DECISIÓN N° 254,"PROGRAMA SUBREGIONAL ANDINO DE CAPACITACIÓN, COOPERACIÓN E INTERCAMBIO TECNOLÓGICO PARA LOS LABORATORIOS DE SALUD ANIMAL Y VIGILANCIA EPIDEMIOLÓGICA",29/09/1989,DEC254.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC254.doc,7,Decisiones
DECISIÓN N° 253,"PROGRAMA ANDINO DE PREVENCIÓN, CONTROL Y ERRADICACIÓN DE LAS MOSCAS DE LAS FRUTAS",29/09/1989,DEC253.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC253.doc,7,Decisiones
DECISIÓN N° 252,SISTEMA DE INFORMACIÓN Y TOMA DE DECISIONES PARA LA SEGURIDAD ALIMENTARIA (SITOD-SEGUNDA ETAPA),29/09/1989,DEC252.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC252.doc,6,Decisiones
DECISIÓN N° 251,PLAN DE ACCIÓN CONJUNTA PARA LA REACTIVACIÓN Y EL DESARROLLO AGROPECUARIO DE LA SUBREGIÓN ANDINA,29/09/1989,DEC251.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC251.doc,7,Decisiones
DECISIÓN N° 250,PLAN DE ACCIÓN PARA LA SUSTITUCIÓN Y DESARROLLO ALTERNATIVO EN LAS ZONAS PRODUCTORAS DE COCA DE LOS PAÍSES ANDINOS,29/09/1989,DEC250.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC250.doc,3,Decisiones
RESOLUCIÓN N° 289,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA APLICACIÓN DEL ARTÍCULO 79A DEL ACUERDO DE CARTAGENA,27/11/1989,RES289.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES289.doc,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 257,TRANSPORTE INTERNACIONAL DE MERCANCÍAS POR CARRETERA,7/12/1989,DEC257.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC257.doc,18,Decisiones
