Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 154,APLICACION DEL ARTICULO 58 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DEL ECUADOR,22/01/1980,RES154.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES154.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 153,"RETIRO DE PRODUCTOS DE LA NOMINA DE PRODUCTOS RESPECTO DE LOS CUALES NO EXISTE PRODUCCION EN LA SUBREGION, PARA LOS EFECTOS DE LA APLICACION DE LOS ARTICULOS 65 Y 104 DEL ACUERDO",22/01/1980,RES153.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES153.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 152,VERIFICACION DE PRODUCCIONES DE PRODUCTOS COMPRENDIDOS EN EL PROGRAMA SECTORIAL DE DESARROLLO INDUSTRIAL DEL SECTOR METALMECANICO,22/01/1980,RES152.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES152.pdf,5,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 155,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA SOSA CAUSTICA,11/03/1980,RES155.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES155.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 156,VERIFICACION DE PRODUCCIONES DE PRODUCTOS COMPRENDIDOS EN EL PROGRAMA SECTORIAL DE DESARROLLO DE LA INDUSTRIA PETROQUIMICA,12/03/1980,RES156.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES156.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 152,MODIFICACIONES AL PROGRAMA SECTORIAL DE LA INDUSTRIA AUTOMOTRIZ,29/03/1980,DEC152.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC152.doc,1,Decisiones
RESOLUCIÓN N° 158,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA SORGO PARA LA SIEMBRA,2/04/1980,RES158.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES158.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 157,"SUSPENSION DE LA OBLIGACION DE INCORPORAR MOTOCOMPRESORES HERMETICOS DE 1/3 HP DE PRODUCCION SUBREGIONAL, EN LOS REFRIGERADORES ELECTRICOS DE USO DOMESTICO",2/04/1980,RES157.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES157.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 159,AMPLIACION DEL PLAZO PREVISTO EN EL ARTICULO 66 DE LA DECISION 120,30/04/1980,RES159.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES159.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 160,VERIFICACION DE PRODUCCION DE PRODUCTOS COMPRENDIDOS EN EL PROGRAMA SECTORIAL DE DESARROLLO INDUSTRIAL DEL SECTOR METALMECANICO,20/05/1980,RES160.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES160.pdf,4,Resoluciones de la Junta del Acuerdo de Cartagena
