Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 2178,"REGISTRO EN LA LISTA ANDINA SATELITAL DEL SATÉLITE SES-17, PERTENECIENTE A LA EMPRESA NEW SKIES SATELLITES B.V. (NSS SES), EN LA POSICIÓN ORBITAL 67° OESTE",8/01/2021,RESOLUCION2178.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCION2178.docx,3,Resoluciones
RESOLUCIÓN N° 2179,PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA SEGUNDA QUINCENA DE ENERO DE 2021,11/01/2021,RESOLUCION2179.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCION2179.docx,2,Resoluciones
RESOLUCIÓN N° 2181,ENCARGO TEMPORAL DE LA SECRETARÍA GENERAL,20/01/2021,RESOLUCION2181.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCION2181.docx,1,Resoluciones
RESOLUCIÓN N° 2180,"MODIFICACIÓN DEL REGISTRO EN LA LISTA ANDINA SATELITAL DEL SATÉLITE INTELSAT 901 (IS 901), Y LA CANCELACIÓN EN EL REGISTRO DEL SATÉLITE INTELSAT 907 (IS 907), PERTENECIENTES A LA EMPRESA INTELSAT US LLC",20/01/2021,RESOLUCION2180.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCION2180.docx,3,Resoluciones
RESOLUCIÓN N° 2183,MODIFICATORIA DE LA RESOLUCIÓN N° 1243 REGLAMENTO DE PROCEDIMIENTOS DE GESTIÓN DE LA NANDINA,25/01/2021,RESOLUCION2183.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCION2183.doc,12,Resoluciones
RESOLUCIÓN N° 2182,PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA PRIMERA QUINCENA DE FEBRERO DE 2021,25/01/2021,RESOLUCION2182.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCION2182.docx,2,Resoluciones
RESOLUCIÓN N° 2184,ENCARGO TEMPORAL DE LA SECRETARÍA GENERAL,28/01/2021,RESOLUCION2184.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCION2184.docx,1,Resoluciones
RESOLUCIÓN N° 2185,PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA SEGUNDA QUINCENA DE FEBRERO DE 2021,10/02/2021,RESOLUCION2185.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCION2185.docx,2,Resoluciones
RESOLUCIÓN N° 2186,DISPOSICIÓN TEMPORAL RELATIVA A LA DOCUMENTACIÓN REQUERIDA PARA EL RECONOCIMIENTO DEL CÓDIGO DE IDENTIFICACIÓN DE LA NSO DE PRODUCTOS COSMÉTICOS,17/02/2021,RESOLUCION2186.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCION2186.docx,3,Resoluciones
RESOLUCIÓN N° 2187,PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA PRIMERA QUINCENA DE MARZO DE 2021,22/02/2021,RESOLUCION2187.docx,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESOLUCION2187.docx,2,Resoluciones
